solver, length, nbInv, SATClauses, SATVars, SavileRowClauseOut, SavileRowTimeOut, SavileRowTotalTime, SolverFailures, SolverMemOut, SolverNodes, SolverSatisfiable, SolverTimeOut, SolverTotalTime, TotalTime
or-tools, 003, -077, NA, NA, 0, 0, 0.109, 0, NA, NA, 0, 0, 0.017, 0.126
chuffed, 003, -078, NA, NA, 0, 0, 0.263, 0, NA, 0, 0, 0, 0.008, 0.271
kissat, 003, -078, 133, 0, 0, 0, 0.082, NA, 0, 0, 0, 0, 0.00, 0.082
or-tools, 003, -078, NA, NA, 0, 0, 0.083, 0, NA, NA, 0, 0, 0.014, 0.097
chuffed, 003, -079, NA, NA, 0, 0, 0.259, 0, NA, 0, 0, 0, 0.008, 0.267
kissat, 003, -079, 133, 0, 0, 0, 0.086, NA, 0, 0, 0, 0, 0.00, 0.086
or-tools, 003, -079, NA, NA, 0, 0, 0.111, 0, NA, NA, 0, 0, 0.017, 0.128
chuffed, 003, -080, NA, NA, 0, 0, 0.247, 0, NA, 0, 0, 0, 0.009, 0.256
kissat, 003, -080, 133, 0, 0, 0, 0.107, NA, 0, 0, 0, 0, 0.00, 0.107
or-tools, 003, -080, NA, NA, 0, 0, 0.082, 0, NA, NA, 0, 0, 0.013, 0.095
chuffed, 003, -081, NA, NA, 0, 0, 0.251, 0, NA, 0, 0, 0, 0.008, 0.259
kissat, 003, -081, 133, 0, 0, 0, 0.1, NA, 0, 0, 0, 0, 0.00, 0.1
or-tools, 003, -081, NA, NA, 0, 0, 0.083, 0, NA, NA, 0, 0, 0.015, 0.098
chuffed, 003, -082, NA, NA, 0, 0, 0.233, 0, NA, 0, 0, 0, 0.009, 0.24200000000000002
kissat, 003, -082, 133, 0, 0, 0, 0.102, NA, 0, 0, 0, 0, 0.00, 0.102
or-tools, 003, -082, NA, NA, 0, 0, 0.114, 0, NA, NA, 0, 0, 0.019, 0.133
chuffed, 003, -083, NA, NA, 0, 0, 0.239, 0, NA, 0, 0, 0, 0.011, 0.25
kissat, 003, -083, 133, 0, 0, 0, 0.091, NA, 0, 0, 0, 0, 0.00, 0.091
or-tools, 003, -083, NA, NA, 0, 0, 0.11, 0, NA, NA, 0, 0, 0.017, 0.127
