solver, length, nbInv, SATClauses, SATVars, SavileRowClauseOut, SavileRowTimeOut, SavileRowTotalTime, SolverFailures, SolverMemOut, SolverNodes, SolverSatisfiable, SolverTimeOut, SolverTotalTime, TotalTime
chuffed, 003, -079, NA, NA, 0, 0, 0.074, 0, NA, 0, 0, 0, 0.003, 0.077
kissat, 003, -079, 133, 0, 0, 0, 0.082, NA, 0, 0, 0, 0, 0.00, 0.082
or-tools, 003, -079, NA, NA, 0, 0, 0.102, 0, NA, NA, 0, 0, 0.014, 0.11599999999999999
chuffed, 003, -080, NA, NA, 0, 0, 0.08, 0, NA, 0, 0, 0, 0.003, 0.083
kissat, 003, -080, 133, 0, 0, 0, 0.089, NA, 0, 0, 0, 0, 0.00, 0.089
or-tools, 003, -080, NA, NA, 0, 0, 0.102, 0, NA, NA, 0, 0, 0.014, 0.11599999999999999
chuffed, 003, -081, NA, NA, 0, 0, 0.083, 0, NA, 0, 0, 0, 0.003, 0.08600000000000001
kissat, 003, -081, 133, 0, 0, 0, 0.079, NA, 0, 0, 0, 0, 0.00, 0.079
or-tools, 003, -081, NA, NA, 0, 0, 0.099, 0, NA, NA, 0, 0, 0.01, 0.109
chuffed, 003, -082, NA, NA, 0, 0, 0.077, 0, NA, 0, 0, 0, 0.004, 0.081
kissat, 003, -082, 133, 0, 0, 0, 0.084, NA, 0, 0, 0, 0, 0.00, 0.084
or-tools, 003, -082, NA, NA, 0, 0, 0.097, 0, NA, NA, 0, 0, 0.015, 0.112
chuffed, 003, -083, NA, NA, 0, 0, 0.078, 0, NA, 0, 0, 0, 0.003, 0.081
kissat, 003, -083, 133, 0, 0, 0, 0.086, NA, 0, 0, 0, 0, 0.00, 0.086
or-tools, 003, -083, NA, NA, 0, 0, 0.103, 0, NA, NA, 0, 0, 0.014, 0.11699999999999999
